phase,line,protocol,daq_samples,write_p50_ms,write_p95_ms,readback_delta,f5_rejected,f5_total,false_block,loop_iterations,convergence_s,mission_writes,mission_final_pv,mission_target,mission_attained,node_rollback,rollback_before,rollback_after,hitl_ok,hitl_latency_ms,recipe_versions,recipe_lastgood,recipe_applied_run,param_write_pass,product_layer_block,standing_layer_block,param_read_ok,agent_harness,agent_state,agent_wall_s,agent_oracle,goal_state,goal_pv,goal_target,goal_writes,goal_recipe_saved,goal_oracle,seed,J0,Jend,Jstar,ratio,iters,writes,rejected,converged,wall_s,preset,backstop_fired,backstop_restored,latency_s,record,biax_devices,biax_dcw,biax_daq,biax_writes,biax_distinct,biax_final_um,biax_attained,scenario,attained,line_reused,team_state,team_dispatched,memory_idempotent,harnesses,harnesses_available
P5,1,modbus-tcp,,,,,,,,,,,,,,,,,,,,,,,,,,omp,COMPLETED,150.308,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5b,,cast-film-twin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETED,51.35,52,3,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,70.023,87.001,89.894,0.968,2,2,0,true,36.131,,,,,,,,,,,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,68.321,87.236,89.894,0.97,2,2,0,true,36.173,,,,,,,,,,,,,,,,,,,,
P6,,castfilm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,69.881,87.288,89.894,0.971,2,2,0,true,36.162,,,,,,,,,,,,,,,,,,,,
P8,1,modbus-tcp,11,,,0.04,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,,,,,,,,,,,
P8,2,opcua,11,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,,,,,,,,,,,
P8,3,mqtt,11,,,,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,,,,,,,,,,,
P8,4,modbus-rtu,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,,,,,,,,,,,
P8,5,http,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,film-line,,,,,,,,,,,,,,,,,,,
P8b,,modbus-tcp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,130.208,opt-92f21b8b,,,,,,,,,,,,,,,
P10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,30,19,3,3,25.70,1,,,,,,,,
P11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,30.39,,,,,,,,,,,,,injection,1,1,,,,,
P11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,201.53,,,,,,,,,,,,,wwtp,1,1,,,,,
P11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,87.05,,,,,,,,,,,,,anneal,0,1,,,,,
P11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,biax,1,1,,,,,
P9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETED,true,true,14,14
